# gunzip -c exp/mono/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Wed Jan 15 00:07:58 CET 2020
#
At utterance begin, SIL accounts for 99.7% of phone occurrences, with duration (median, mean, 95-percentile) is (98,116.2,207) frames.
Overall, B_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.3,9) frames.
Overall, SH_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (11,10.5,16) frames.
Overall, IIH_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.7,18) frames.
Overall, V_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.5,8) frames.
Overall, Z_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,7.8,13) frames.
Overall, V_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.2,7) frames.
Overall, M_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.1,11) frames.
Overall, Z_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,7.9,13) frames.
Overall, AW_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.1,22) frames.
Overall, G_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.3,9) frames.
Overall, TS_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.2,16) frames.
Overall, CC_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.0,17) frames.
Overall, P_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.7,13) frames.
Overall, M_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.4,14) frames.
Overall, K_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.5,15) frames.
Overall, HH_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.0,12) frames.
Overall, SH_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (11,10.8,17) frames.
Overall, UUH_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.9,16) frames.
Overall, N_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.5,11) frames.
The optional-silence phone SIL occupies 24.6% of frames overall 
Limiting the stats to the 81.1% of frames not covered by an utterance-[begin/end] phone, optional-silence SIL occupies 7.1% of frames.
Assuming 100 frames per second, the alignments represent 140.0 hours of data, or 105.6 hours if SIL frames are excluded.
Utterance-internal optional-silences SIL comprise 1.5% of utterance-internal phones, with duration (median, mean, 95-percentile) = (31,34.3,70)
# Accounting: time=1 threads=1
# Ended (code 0) at Wed Jan 15 00:07:59 CET 2020, elapsed time 1 seconds
