# gunzip -c exp/tri4b/decode2/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py exp/tri4b/graph 
# Started at Sun Apr 12 13:46:50 CEST 2020
#
At utterance begin, SILE accounts for 99.7% of phone occurrences, with duration (median, mean, 95-percentile) is (35,34.9,54) frames.
Overall, L_I accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.9,13) frames.
Overall, IH1_I accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.0,13) frames.
Overall, HH_B accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.5,15) frames.
Overall, S_B accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (13,12.9,20) frames.
Overall, W_B accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.0,14) frames.
Overall, S_I accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (10,9.8,16) frames.
Overall, AH0_B accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.0,11) frames.
Overall, IY0_E accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (8,10.0,22) frames.
Overall, AE1_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.7,21) frames.
Overall, AH0_E accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.7,9) frames.
Overall, T_B accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.8,15) frames.
Overall, AH1_I accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.4,14) frames.
Overall, S_E accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (11,13.7,30) frames.
Overall, ER0_E accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (8,10.6,23) frames.
Overall, V_E accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.6,11) frames.
Overall, B_B accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.7,11) frames.
Overall, IH0_B accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.0,11) frames.
Overall, M_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.5,14) frames.
Overall, K_I accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.1,13) frames.
Overall, L_E accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (8,10.8,24) frames.
Overall, K_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.4,15) frames.
Overall, F_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.5,17) frames.
Overall, AA1_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.0,20) frames.
Overall, EY1_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.9,21) frames.
Overall, M_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.0,11) frames.
Overall, AO1_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.1,21) frames.
Overall, P_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.3,13) frames.
Overall, AY1_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (13,14.0,25) frames.
Overall, AE1_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.6,19) frames.
Overall, D_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,5.7,9) frames.
Overall, R_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.8,24) frames.
Overall, IY1_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.1,21) frames.
Overall, D_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.6,13) frames.
Overall, P_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.1,16) frames.
Overall, IY1_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,10.4,27) frames.
Overall, NG_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.3,21) frames.
Overall, ER0_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.3,15) frames.
Overall, M_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.9,19) frames.
Overall, L_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.8,14) frames.
Overall, N_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.1,15) frames.
Overall, UW1_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.8,26) frames.
Overall, IH1_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.3,17) frames.
Overall, V_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.5,10) frames.
Overall, R_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.2,14) frames.
Overall, OW1_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (11,12.2,22) frames.
Overall, AH1_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.2,15) frames.
The optional-silence phone SILE occupies 16.1% of frames overall 
Limiting the stats to the 91.5% of frames not covered by an utterance-[begin/end] phone, optional-silence SILE occupies 8.4% of frames.
Assuming 100 frames per second, the alignments represent 5.4 hours of data, or 4.5 hours if SILE frames are excluded.
Utterance-internal optional-silences SILE comprise 3.3% of utterance-internal phones, with duration (median, mean, 95-percentile) = (19,22.8,61)
# Accounting: time=0 threads=1
# Ended (code 0) at Sun Apr 12 13:46:50 CEST 2020, elapsed time 0 seconds
