# gunzip -c exp/tri2a/decode/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py exp/tri2a/graph 
# Started at Wed Jan 15 05:54:21 CET 2020
#
At utterance begin, SIL accounts for 99.5% of phone occurrences, with duration (median, mean, 95-percentile) is (107,120.7,229) frames.
Overall, S_E accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.7,20) frames.
Overall, D_I accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.7,8) frames.
Overall, IIH_I accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.7,15) frames.
Overall, EEH_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.3,15) frames.
Overall, S_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.5,16) frames.
Overall, F_B accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.4,15) frames.
Overall, AAH_I accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.0,20) frames.
Overall, IIH_E accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.1,17) frames.
Overall, G_I accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.5,10) frames.
Overall, OOH_I accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.0,15) frames.
Overall, OO_I accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.2,13) frames.
Overall, V_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.3,9) frames.
Overall, Z_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.9,13) frames.
Overall, CC_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.7,14) frames.
Overall, G_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.4,10) frames.
Overall, TS_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.0,16) frames.
Overall, K_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.1,12) frames.
Overall, B_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.4,9) frames.
Overall, B_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.2,9) frames.
Overall, M_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.5,11) frames.
Overall, TS_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.2,15) frames.
Overall, Z_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.3,12) frames.
Overall, F_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.7,14) frames.
Overall, AW_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.4,18) frames.
Overall, V_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (5,4.8,7) frames.
Overall, M_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.2,11) frames.
Overall, SH_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.0,13) frames.
Overall, CC_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.0,18) frames.
Overall, K_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.4,13) frames.
Overall, SH_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.5,15) frames.
Overall, N_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.8,10) frames.
Overall, P_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.5,12) frames.
Overall, UUH_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.9,14) frames.
The optional-silence phone SIL occupies 24.5% of frames overall 
Limiting the stats to the 78.7% of frames not covered by an utterance-[begin/end] phone, optional-silence SIL occupies 5.3% of frames.
Assuming 100 frames per second, the alignments represent 2.4 hours of data, or 1.8 hours if SIL frames are excluded.
Utterance-internal optional-silences SIL comprise 1.5% of utterance-internal phones, with duration (median, mean, 95-percentile) = (20,24.4,60)
# Accounting: time=0 threads=1
# Ended (code 0) at Wed Jan 15 05:54:21 CET 2020, elapsed time 0 seconds
